agent0,0,0,1
agent1,0,50,1
agent2,0,100,1
agent3,0,150,1
agent4,0,200,1
agent5,0,249,1
agent6,25,25,1
agent7,25,75,1
agent8,25,125,1
agent9,25,175,1
agent10,25,225,1
agent11,50,0,1
agent12,50,50,1
agent13,50,100,1
agent14,50,150,1
agent15,50,200,1
agent16,50,249,1
agent17,75,25,1
agent18,75,75,1
agent19,75,125,1
agent20,75,175,1
agent21,75,225,1
agent22,100,0,10000
agent23,100,50,1
agent24,100,100,1
agent25,100,150,1
agent26,100,200,1
agent27,100,249,1
agent28,125,25,1
agent29,125,75,1
agent30,125,125,1
agent31,125,175,1
agent32,125,225,1
agent33,150,0,1
agent34,150,50,1
agent35,150,100,1
agent36,150,150,1
agent37,150,200,1
agent38,150,249,1
agent39,175,25,1
agent40,175,75,1
agent41,175,125,1
agent42,175,175,1
agent43,175,225,1
agent44,200,0,1
agent45,200,50,1
agent46,200,100,1
agent47,200,150,1
agent48,200,200,1
agent49,200,249,1
