agent0,56,76,1
agent1,189,223,1
agent2,16,176,1
agent3,37,89,1
agent4,170,99,1
agent5,94,44,1
agent6,117,28,1
agent7,120,182,1
agent8,162,24,1
agent9,179,61,1
agent10,176,203,1
agent11,206,115,1
agent12,67,78,1
agent13,71,196,1
agent14,200,84,1
agent15,146,59,1
agent16,195,242,1
agent17,214,142,1
agent18,207,126,1
agent19,248,138,1
agent20,189,146,1
agent21,242,236,1
agent22,218,123,10000
agent23,153,136,1
agent24,172,67,1
agent25,213,177,1
agent26,42,219,1
agent27,9,74,1
agent28,60,172,1
agent29,162,118,1
agent30,144,168,1
agent31,33,239,1
agent32,230,108,1
agent33,54,132,1
agent34,58,144,1
agent35,6,171,1
agent36,122,243,1
agent37,15,71,1
agent38,31,50,1
agent39,107,239,1
agent40,167,184,1
agent41,132,183,1
agent42,58,243,1
agent43,27,160,1
agent44,154,211,1
agent45,12,41,1
agent46,145,16,1
agent47,47,86,1
agent48,130,167,1
agent49,236,53,1
