agent0,194,232,1
agent1,90,129,1
agent2,170,98,1
agent3,193,215,1
agent4,246,74,1
agent5,94,177,1
agent6,22,245,1
agent7,53,161,1
agent8,144,62,1
agent9,21,245,1
agent10,167,95,1
agent11,149,220,1
agent12,167,138,1
agent13,152,238,1
agent14,45,43,1
agent15,208,245,1
agent16,165,235,1
agent17,13,229,1
agent18,77,93,1
agent19,117,235,1
agent20,151,170,1
agent21,184,118,1
agent22,197,105,10000
agent23,61,124,1
agent24,238,118,1
agent25,22,174,1
agent26,58,71,1
agent27,24,216,1
agent28,69,51,1
agent29,188,56,1
agent30,176,186,1
agent31,89,5,1
agent32,102,44,1
agent33,224,50,1
agent34,62,182,1
agent35,25,74,1
agent36,60,55,1
agent37,188,42,1
agent38,202,11,1
agent39,99,192,1
agent40,121,82,1
agent41,40,157,1
agent42,106,27,1
agent43,41,195,1
agent44,29,146,1
agent45,20,169,1
agent46,61,0,1
agent47,233,8,1
agent48,29,29,1
agent49,25,36,1
agent50,247,70,1
agent51,95,90,1
agent52,152,15,1
agent53,97,193,1
agent54,153,194,1
agent55,218,126,1
agent56,50,122,1
agent57,142,113,1
agent58,58,233,1
agent59,11,14,1
agent60,76,5,1
agent61,164,92,1
agent62,16,138,1
agent63,150,117,1
agent64,23,88,1
agent65,102,188,1
agent66,58,175,1
agent67,26,178,1
agent68,72,188,1
agent69,207,70,1
agent70,228,113,1
agent71,104,181,1
agent72,219,71,1
agent73,125,76,1
agent74,197,232,1
agent75,49,60,1
agent76,23,149,1
agent77,168,34,1
agent78,240,37,1
agent79,169,174,1
agent80,12,110,1
agent81,169,52,1
agent82,103,105,1
agent83,21,95,1
agent84,129,243,1
agent85,151,151,1
agent86,207,215,1
agent87,110,156,1
agent88,238,97,1
agent89,159,129,1
agent90,139,210,1
agent91,74,92,1
agent92,126,201,1
agent93,149,17,1
agent94,42,156,1
agent95,95,84,1
agent96,161,213,1
agent97,227,167,1
agent98,98,44,1
agent99,103,100,1
agent100,119,214,1
agent101,130,186,1
agent102,217,87,1
agent103,43,204,1
agent104,195,111,1
agent105,56,116,1
agent106,36,231,1
agent107,112,48,1
agent108,91,18,1
agent109,140,207,1
agent110,184,89,1
agent111,182,227,1
agent112,226,211,1
agent113,152,154,1
agent114,193,148,1
agent115,21,70,1
agent116,117,71,1
agent117,234,218,1
agent118,179,101,1
agent119,201,177,1
agent120,79,48,1
agent121,159,184,1
agent122,167,224,1
agent123,120,68,1
agent124,248,36,1
agent125,59,61,1
agent126,5,27,1
agent127,220,239,1
agent128,56,12,1
agent129,10,94,1
agent130,210,179,1
agent131,159,178,1
agent132,144,167,1
agent133,209,238,1
agent134,17,72,1
agent135,6,197,1
agent136,45,160,1
agent137,12,49,1
agent138,141,55,1
agent139,231,127,1
agent140,191,150,1
agent141,176,219,1
agent142,127,118,1
agent143,234,102,1
agent144,232,68,1
agent145,116,246,1
agent146,34,53,1
agent147,135,170,1
agent148,225,213,1
agent149,174,149,1
agent150,203,199,1
